title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count
Barnicle: World Leaders Are Laughing At The US | Morning Joe | MSNBC,MSNBC,25,2017-11-13T14:53:22.000Z,"Morning Joe|""Joe Scarborough""|""Mika Brzezinski""|""Willie Geist""|""MSNBC""|""MSNBC news""|""MSNBC live""|""MSNBC TV""|""news""|""breaking news""|""current events""|""US news""|""politics""|""politics news""|""political news""|""elections""|""president trump putin comments""|""president vladimir putin""|""russia meddling""|""vladimir putin""|""putin""|""president trump""|""trump in asia""|""trump in vietnam""|""apec 2017""|""russian""|""president putin""|""trump asia trip""|""election 2016""|""election hacking""",200264,2947,317,2321
Cats Hate Pregnant - Off Topic #102,Achievement Hunter,20,2017-11-12T18:00:03.000Z,"Achievement Hunter|""AH""|""video game""|""gaming""|""game""|""gameplay""|""game play""|""michael jones""|""ryan haywood""|""lindsay jones""|""gavin free""|""jeremy dooley""|""jack pattillo""|""extra life""|""movies""|""comedy""|""funny""|""cats""|""babies""|""million dollars but""|""jeff goldblum""|""thor ragnarok""|""justice league""|""xbox one x""|""sky factory""|""samuel jackson""|""spider man homecoming""|""ready player one""|""fuel""|""git gud""|""action league now""|""daria""|""cuphead""|""lion king""|""james buckley""|""alan ritchson""|""off topic""|""podcast""|""last call""|""bar""",191353,3307,85,534
H3 Podcast #38 - Hila Klein,H3 Podcast,24,2017-11-11T19:38:28.000Z,"hila|""klein""|""hila klein""|""hila kleiner""|""hila klein from h3h3""|""h3h3""|""h3h3productions""|""h3 podcast""|""podcast""|""ethan and hila""",721066,30576,1251,6114
Autumn's sick...,Sugar Pine 7,24,2017-11-13T03:08:01.000Z,"sugar pine 7|""steven suptic""|""autumn""|""sick""|""parker""|""vape""|""vapers""",182330,14901,55,1442
He Almost Died Pier Jumping ...,Danny Duncan,23,2017-11-12T22:55:07.000Z,"danny duncan|""danny duncan 69""|""kevin""|""danny duncan vlogs""|""danny duncan pranks""|""santa monica pier""|""jumping off santa monica pier""|""guy jumps off santa monica pier""|""pier jump fails""|""california""|""stunts""",524623,34460,237,2490
ON VOUS DÉVOILE NOTRE VRAI SALAIRE,Mcfly & Carlito,24,2017-11-12T08:59:25.000Z,"mcfly|""carlito""|""golden moustache""|""fatshow""|""badass""|""dab""|""j'effectue le dab""|""on appelle des gens au hasard""|""le meilleur jeu en voiture""|""mcfly et carlito""|""mcfly & carlito""|""concours d'anecdotes""",2340941,200598,6018,7575
"Canada Soccer's Women's National Team v USA International Friendly LIVE from Avaya Stadium, San Jose",Canada Soccer,17,2017-11-13T05:53:49.000Z,[none],36311,277,28,13
Emotionally Responsive Digital Human,Soul Machines,22,2017-10-31T01:11:48.000Z,"artificial intelligence|""digital human""|""virtual assistant""|""machine learning""|""technology""",3684,4,5,1
Ex-intelligence chiefs fire back at Trump criticism (Entire CNN interview),CNN,29,2017-11-12T15:36:51.000Z,"James Clapper|""John Brennan""|""President Trump""|""Russia""|""Vladimir Putin""|""jake tapper""|""sotu""|""DNI""|""director of national intelligence""|""russia meddling""",286231,2530,1127,3239
HOLIDAY 2017 ⭐️ COLLECTION & SKIN FROST PALETTE REVEAL | Jeffree Star Cosmetics,jeffreestar,26,2017-11-12T17:51:45.000Z,"jeffree star|""jeffree star cosmetics""|""jeffree star approved""|""velour liquid lipstick""|""lip ammunition""|""jeffreey star holiday 17 collection""|""holiday liquid lipstick""|""jeffree star liquid lipstick""|""limited edition makeup""|""medua liquid lip""|""mermaind blood liquid lip""|""velour lip scrub""|""black friday sale""|""skin frost pro palette""|""skin frost reveal""|""holiday luxury makeup""|""manny mua""|""laura lee""|""james charles""|""tati westbrook""|""fenty beauty""|""kkw beauty review""",1637172,100779,989,18966
"Gerrymandering, Conservative Comedians, Bobby Kennedy | Overtime with Bill Maher (HBO)",Real Time with Bill Maher,1,2017-11-11T05:30:08.000Z,"DNC Chairwoman Donna Brazile|""Hacks""|""The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House""|""comedian""|""Sarah Silverman""|""I Love You""|""America""|""Hulu""|""Michael Moore""|""Broadway""|""The Terms of My Surrender""|""Chris Matthews""|""MSNBC""|""Hardball with Chris Matthews""|""Bobby Kennedy""|""A Raging Spirit""",458964,4903,392,1289
NELK - Before They Were Famous - Kyle Forgeard & Jesse Sebastiani,Michael McCrudden,24,2017-11-12T15:30:01.000Z,"nelk|""kyle forgeard""|""jesse sebastiani""|""nelk kyle""|""nelk jesse""|""nelk prank""|""nelk tv show""|""nelk youtube""|""kyle forgeard wiki""|""jesse sebastiani wiki""|""kyle forgeard age""|""jesse sebestiani age""|""jesse sebestiani youtube""|""kyle forgeard youtube""|""nelk before they were famous""|""before they were famous""|""nelk coke prank""|""nelk boys""|""kyle forgeard instagram""|""jesse sebastiani instagram""",172720,10736,236,3813
"LFR11 - Game 19 - B Sweeper - Tor 4, Bos 1",SteveDangle,17,2017-11-12T21:11:04.000Z,"Toronto Maple Leafs|""Maple Leafs""|""Leafs""|""Boston Bruins""|""Morgan Rielly""|""James van Riemsdyk""|""Mitch Marner""|""Curtis McElhinney""|""Steve Dangle""",28992,1409,9,188
LES PIRES DOUBLAGES FRANÇAIS,SQUEEZIE,23,2017-11-10T18:25:25.000Z,"squeezie doublage|""squeezie batman""|""squeezie doublage dragon ball""|""squeezie doublage animés""|""squeezie vidéo doublage""|""squeezie voix francaises""",3641421,218587,5809,12649
Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,T-Series,10,2017-11-11T06:14:19.000Z,"Ek Dil Ek Jaan Video Song|""'Ek Dil Ek Jaan'""|""Ek Dil Ek Jaan Video""|""Padmavati""|""Padmavati songs""|""Padmavati movie song""|""deepika padukone""|""ranveer singh""|""ghoomar""|""padmavati song""|""Deepika Padukone""|""Shahid Kapoor""|""Sanjay Leela Bhansali""|""Padmavati Deepika Padukone""|""Ghoomar""|""Ghoomar Deepika Padukone""|""Padmavati Songs""|""new hindi songs""|""hindi songs""|""shahid kapoor""|""sanjay leela bhansali""|""indian songs""|""padmavati songs""|""love song""|""love song 2017""|""do dil ek jaan""",10588371,132738,8812,10847
